title,full_price,discounted_price,product_length,product_page,product_category,author,brief_description,release_date,isbn
Modern DevOps in Practice [Video],$ 124.99,$ 106.25,4 hours 20 minutes,https://www.packtpub.com/virtualization-and-cloud/modern-devops-practice-video,virtualization and cloud,Cory W. Cordell,Automate your infrastructure and overcome day-to-day IT infrastructure challenges,"Tuesday, March 5, 2019",9781789138030
Vector Graphics with SVG & HTML - Complete Course with Projects [Video],$ 94.99,$ 80.75,5 hours 56 minutes,https://www.packtpub.com/application-development/vector-graphics-svg-html-complete-course-projects-video,application development,Aarthi Elumalai,Create awesome 2D vector graphics with SVG (code) + HTML - over-the-shoulder training with multiple projects per module,"Thursday, February 28, 2019",9781838645991
ITIL® 4 Foundation: Complete Course with 2 Practice Exams [Video],$ 182.99,$ 155.55,5 hours 50 minutes,https://www.packtpub.com/application-development/itil-4-foundation-complete-course-2-practice-exams-video,application development,Jason Dion,Your complete resource to passing the ITIL® 4 Foundation exam on the first attempt!,"Tuesday, March 12, 2019",9781838646783
Hands-On Web Development with ASP.NET Core and Angular 7 [Video],$ 124.99,$ 106.25,3 hours 30 minutes,https://www.packtpub.com/web-development/hands-web-development-aspnet-core-and-angular-7-video,web development,Reynald Adolphe,"Build, secure, and launch an interactive app with ASP.NET 3.0 and Angular 7","Thursday, February 28, 2019",9781789807936
Learning Neo4j 3.x [Video],$ 124.99,$ 106.25,2 hours 10 minutes,https://www.packtpub.com/application-development/learning-neo4j-3x-video,application development,Shehzad Ahmed,Neo4j 3.x from scratch for absolute beginners,"Thursday, February 28, 2019",9781838554316
Artificial Intelligence in Game Development- Tic Tac Toe AI [Video],$ 135.99,$ 115.60,9 hours 35 minutes,https://www.packtpub.com/application-development/artificial-intelligence-game-development-tic-tac-toe-ai-video,application development,Aarthi Elumalai,"Artificial intelligence & Javascript 2D Game Development - MinMax algorithm - ""Computer vs You"" Tic Tac Toe AI game","Thursday, February 28, 2019",9781838644772
Mastering VMware vSphere 6.7 - Second Edition,$ 39.99,$ 28.00,756 pages,https://www.packtpub.com/application-development/mastering-vmware-vsphere-67-second-edition,application development,Martin Gavanda et al.,"Unleash the benefits of VMware vSphere 6.7 to provide a powerful, flexible and secure digital infrastructure",March 2019,9781789613377
"MongoDB, Express, Angular, and Node.js Fundamentals",$ 27.99,$ 19.60,362 pages,https://www.packtpub.com/web-development/mongodb-express-angular-and-nodejs-fundamentals,web development,Paul Oluyege,"Build fast, robust, and maintainable modern full-stack web applications using MongoDB, Express, Angular, and Node.js.",March 2019,9781789808735
Node.js Design Patterns [Video],$ 124.99,$ 106.25,2 hours 35 minutes,https://www.packtpub.com/web-development/nodejs-design-patterns-video,web development,Sachin Bhatnagar,Write efficient and resilient Node.js applications using industry-standard software design patterns,"Thursday, February 28, 2019",9781789538397
Working with SQS and SNS: AWS with Python and Boto3 Series [Video],$ 36.99,$ 31.45,2 hours 53 minutes,https://www.packtpub.com/application-development/working-sqs-and-sns-aws-python-and-boto3-series-video,application development,Niyazi Erdoğan,"Learn to implement FIFO, Dead-Letter Queues, SMS, Email Subscriptions, publish messages to subscribers and much more!","Thursday, February 28, 2019",9781838642297
Mastering Ceph - Second Edition,$ 35.99,$ 25.20,345 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-ceph-second-edition,virtualization and cloud,Nick Fisk,"Discover the unified, distributed storage system and improve the performance of applications",March 2019,9781789610703
Mastering Docker Enterprise,$ 39.99,$ 28.00,488 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-docker-enterprise,virtualization and cloud,Mark Panthofer,"A journey toward containerized applications in production with a cloud-portable, secure, robust and highly available Docker Enterprise platform.",March 2019,9781789612073
